Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk,DNC_Check_Required_for_ER,Quiet_Hours (allowed_window_local),AI_Disclosure_Required,Recording_Basis,Existing_Relationship_Exemption,Known_Exceptions,CallerID/Prefix_Rules,Recent_Changes (2024+),Last_Verified,Primary_Sources,Notes_for_Product
South Africa,ZA,Telemarketing regulated under CPA and ECT Act,opt-out regime via DNC,No specific B2B telemarketing regulation found,apply consumer rules,National Opt-Out Registry,https://www.nationaloptout.co.za,Unknown,Yes,"Mon–Fri 08:00–19:00; Sat 09:00–13:00; no Sun/public holidays",Not specified,consent,Existing relationship does not exempt from checking DNC,Direct marketing by electronic means requires consent,Caller ID must not be withheld,2024 proposals to strengthen POPIA enforcement,2025-08-19,"Information Regulator (POPIA); ICASA; National Consumer Commission","Apply consumer rules conservatively to B2B"
Nigeria,NG,Telemarketing restricted under NCC Do-Not-Disturb Directive,opt-out regime,B2B not covered,apply consumer rules,Do Not Disturb Registry,https://ncc.gov.ng,Yes,Yes,08:00–20:00 daily,Not specified,consent,Existing relationship does not override DND,SMS/calls require consumer opt-out option,Caller ID must be displayed,NCC announced tighter enforcement 2024,2025-08-19,"NCC (Do-Not-Disturb); NITDA (NDPR)","Apply consumer rules conservatively to B2B"
Kenya,KE,Telemarketing regulated under Data Protection Act,opt-in regime,B2B not specifically regulated,apply consumer rules,None,None,N/A,Depends,08:00–18:00 Mon–Fri,Not specified,consent,Consent required; existing relationship does not exempt,Promotional SMS require prior consent,Caller ID must not be spoofed,2024 draft amendment on unsolicited communications,2025-08-19,"ODPC Kenya; CAK (Competition Authority)","Apply consumer rules conservatively to B2B"
Ghana,GH,Telemarketing under Data Protection Act,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent is primary basis,Weak enforcement of telemarketing restrictions,Caller ID must not be spoofed,No major changes since 2023,2025-08-19,"Data Protection Commission Ghana; NCA Ghana","Apply conservative opt-in policy"
Ethiopia,ET,Telemarketing not specifically regulated,No clear opt-in/out,No specific B2B regulation,None,None,N/A,No,Not specified,Not specified,consent,No explicit rules; apply general consent principles,Telecom monopoly (Ethio Telecom) controls SMS marketing,Caller ID rules not specified,None,2025-08-19,"Ethiopian Communications Authority; Ministry of Innovation & Technology","Apply strict consent requirement"
Tanzania,TZ,Consumer telemarketing regulated under EPOCA,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–20:00 (general practice),Not specified,consent,Consent needed for unsolicited communications,Some sector-specific exemptions,Caller ID must be displayed,2024 new guidelines under discussion,2025-08-19,"TCRA (Tanzania Communications Regulatory Authority)","Treat all marketing as opt-in"
Uganda,UG,Telemarketing under Data Protection and Privacy Act,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–18:00,Not specified,consent,Consent needed; ER not sufficient,Unsolicited SMS common but unlawful,Caller ID display required,None,2025-08-19,"NITA-U Uganda; UCC (Communications Commission)","Apply strict consent model"
Rwanda,RW,Marketing calls under Data Protection Law 2021,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–18:00,Not specified,consent,Consent required,No enforcement framework yet,Caller ID must not be spoofed,None,2025-08-19,"RURA (Utilities Reg. Authority); Data Protection Office","Adopt conservative opt-in until clarified"
Senegal,SN,Telemarketing covered by PDP Law 2021,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–20:00,Not specified,consent,Consent required; ER not exempt,CNIL-style DPA guidance,Caller ID must not be hidden,None,2025-08-19,"CDP Senegal; ARTP Senegal","Apply strict consent until clearer rules"
Côte d'Ivoire,CI,Telemarketing under Data Protection Law,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent needed,Weak enforcement capacity,Caller ID must not be spoofed,None,2025-08-19,"ARTCI (Telecom Regulator); Data Protection Authority CI","Treat as opt-in"
Cameroon,CM,Data Protection framework limited no specific telemarketing law,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Lack of DNC system,Caller ID rules not specified,None,2025-08-19,"ANTIC Cameroon; Ministry of Posts & Telecoms","Apply strict opt-in due to uncertainty"
Democratic Republic of Congo,CD,No specific telemarketing law,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Very limited enforcement,Caller ID not regulated,None,2025-08-19,"ARPTC (Regulator)","Apply conservative consent-based rules"
Angola,AO,Consumer telemarketing under Data Protection Law 2011,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required; ER not exempt,Weak institutional enforcement,Caller ID not regulated,None,2025-08-19,"INACOM Angola; Data Protection Law 2011","Apply strict consent approach"
