Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis(consent/legitimate_interest/contract),Existing_Relationship_Exemption(plain_text),Known_Exceptions(notes),CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified,Primary_Sources,Notes_for_Product,Source_Language,Source_Last_Updated,Confidence
United States,US,Telemarketing to consumers regulated,opt-out via National DNC,Telemarketing to businesses less regulated,opt-out (varies by state),National Do Not Call Registry,https://www.donotcall.gov,Yes(API/Bulk),Yes,08:00–21:00 local,Depends (no explicit AI law yet),consent or legitimate_interest,"ER exempt but must honor opt-out",State-level rules may apply,Caller ID must be truthful per FCC rules,Ongoing FCC AI robocall rulemaking 2024,2025-08-18,"FCC https://www.fcc.gov; FTC https://www.ftc.gov; National DNC",AI robocalls under scrutiny – treat as disclosure required conservatively,EN,2024-07-01,High
Canada,CA,Telemarketing to consumers regulated,opt-out via DNCL,B2B exempt unless consumer contacts involved,No specific B2B telemarketing regulation found,National DNCL,https://lnnte-dncl.gc.ca,Yes(API/Bulk),Yes,"09:00–21:30 (Mon-Fri); 10:00–18:00 (Sat)",Depends (no explicit AI disclosure yet),consent,"ER exemption only if not opted out","Charities, political exempt",Caller ID must be displayed,CRTC updates on AI robocalls consultation 2024,2025-08-18,"CRTC https://crtc.gc.ca; National DNCL",Conservative rule: treat B2B as subject to B2C restrictions,EN/FR,2024-06-15,High
Mexico,MX,Telemarketing to consumers regulated,opt-out (REUS registry),No specific B2B telemarketing regulation found,none,REUS (Registro Público de Usuarios),https://reus.profeco.gob.mx,No,Yes,08:00–21:00 local,Depends,consent,"ER does not bypass REUS","Financial services stricter",Caller ID truthful per IFT rules,None noted,2025-08-18,"PROFECO https://www.gob.mx/profeco; IFT https://www.ift.org.mx",Apply consumer quiet hours to B2B conservatively,ES,2024-03-30,Medium
Guatemala,GT,Consumer telemarketing loosely regulated,opt-out not centralized,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,No explicit ER rule,"Weak enforcement",None,None,2025-08-18,"SIT Guatemala (telecom regulator)",No official DNCL – apply conservative opt-in,ES,2023-12-01,Low
El Salvador,SV,Consumer data protected under law,opt-in generally,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,No ER rule,"General consumer law only",None,None,2025-08-18,"SIGET https://www.siget.gob.sv",No DNCL – apply opt-in conservatively,ES,2023-11-15,Low
Honduras,HN,Consumer protection law applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,No ER rule,None,None,None,2025-08-18,"CONATEL Honduras",Weak enforcement – treat as opt-in,ES,2023-10-01,Low
Nicaragua,NI,Consumer protection applies,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"TELCOR Nicaragua",Conservative product note: opt-in,ES,2023-09-01,Low
Costa Rica,CR,Telemarketing regulated under Law 8968 (Data Protection),opt-in,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,ER not exempt,None,None,None,2025-08-18,"PRODHAB https://prodhab.go.cr",Apply opt-in to all,ES,2024-02-15,Medium
Panama,PA,Consumer protection law regulates calls,opt-in,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"ASEP https://www.asep.gob.pa",No DNCL – opt-in required,ES,2023-12-15,Low
Belize,BZ,Consumer laws apply loosely,opt-in,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"PUC Belize",Apply opt-in conservatively,EN,2023-08-01,Low
Dominican Republic,DO,Telemarketing regulated,opt-out via DNCL,B2B not regulated,No specific B2B telemarketing regulation found,DNCL (Registro de No Molestar),https://proconsumidor.gob.do,Unknown,Yes,08:00–20:00,Depends,consent,ER not exempt,None,None,None,2025-08-18,"ProConsumidor",DNCL exists but enforcement weak,ES,2024-04-01,Medium
Haiti,HT,No explicit DNCL,opt-in general,B2B not regulated,No specific B2B telemarketing regulation found,None,None,Unknown,Depends,Not specified,Not specified,consent,None,None,None,None,2025-08-18,"CONATEL Haiti",No DNCL – apply opt-in conservatively,FR,2023-06-01,Low
