Continent,Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis(consent/legitimate_interest/contract),Existing_Relationship_Exemption(plain_text),Known_Exceptions(notes),CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified(ISO date),Primary_Sources(max3;official),Notes_for_Product,Source_Last_Updated,Confidence
Americas,Anguilla,AI,"No specific telemarketing legislation; general law offers minimal consumer protection.","Opt-out (No prior consent required by law; must cease calling upon consumer's request).","No specific B2B telemarketing regulation found.","Opt-out by default (no regulation; advisable to treat similar to B2C).","None (no national do-not-call list).",N/A,N/A,N/A,"Not specified (no legal time restrictions).","Not specified (no rule on automated or AI calls).","Consent recommended (no law; one-party recording likely legal, but best practice to inform).","No explicit exemption; must honor individual opt-outs even for customers.","None noted.","No special caller ID or prefix rules (general anti-fraud norms apply).","No recent changes; telemarketing remains largely unregulated.","2025-08-20","N/A (No official sources on telemarketing; Lex Mundi (secondary) notes no consumer framework)","Apply basic courtesy rules; treat any Anguilla calling as opt-out (stop if consumer objects). Consider consumer quiet hours as a precaution.","N/A","Low"
Americas,Bermuda,BM,"Telemarketing to consumers is regulated under personal data laws (PIPA 2016) and telecom rules (ECA 2011). Consumers have the right to opt out of marketing use of their data.","Opt-out (Calls allowed until the consumer objects; no explicit prior consent required except for robocalls).","Similar treatment as B2C – PIPA and Electronic Transactions rules apply to personal data in B2B context (no special B2B exemption).","Opt-out (B2B contacts can be called unless they opt out; privacy law still applies to individual data).","None (no national DNC list; consumers rely on individual opt-outs).",N/A,N/A,N/A,"Not specified by law (no formal calling-hour limits).","Depends/Not specified (Automated calls are covered under ECA rules to minimize annoyance, but no specific "AI" disclosure rule).","Consent or legitimate interest with notice (Recording is processing personal data under PIPA, requiring a lawful basis; one-party consent is generally sufficient).","No broad exemption – having an existing relationship does not override a consumer's opt-out right (implied consent may apply if customer has not objected).","Unsolicited investment calls are restricted (illegal to conclude an investment agreement from an unsolicited call). Otherwise, charities and survey calls are generally outside marketing scope.","No special prefix; caller must provide identity if asked. No number spoofing allowed (standard truth-in-caller-ID principles).","Personal Information Protection Act amendments effective 2025. New guidance on direct marketing issued June 2025 (no major legislative changes otherwise).","2025-08-20","PIPA 2016 (Personal Information Protection Act); Electronic Communications Act 2011; PrivCom Telemarketing Guidance 2025.","Ensure an opt-out mechanism on all calls. No DNC list to scrub, but honor any request to stop. Consider mirroring typical calling hours. Automated dialers should not be used without consent. Record calls only with notice or consent.","2025-06-23","High"
Americas,Bahamas,BS,"Telemarketing is governed by consumer protection regulations (via URCA) and the Data Protection (Privacy of Personal Information) Act 2003. The Utilities Regulation & Competition Authority has rules for unsolicited calls, and individuals have a right to opt out of marketing use of their data.","Opt-out (No blanket opt-in requirement; consumers can register objections and must not be called if they opted out). Prior consent is recommended especially for robocalls.","No specific B2B telemarketing law. B2B calls are generally permitted unless they involve personal data of individuals (then general privacy principles apply).","Opt-out (No formal rules; good practice to honor any opt-out requests from businesses).","None (no national do-not-call registry; no official opt-out list beyond ad hoc requests).",N/A,N/A,N/A,"Not clearly specified in law (telemarketing should occur at reasonable hours; no formal statutory window).","Not specified (No specific provision about disclosing use of AI or synthesized voice; automated/prerecorded calls likely require express consent under general law).","Consent advised. The Bahamas Listening Devices Act prohibits recording private conversations and disclosing them without all parties' consent. To record calls (especially for marketing), obtain consent or provide notice.","No explicit exemption. Having an existing relationship does not override an individual's right to opt out under the Data Protection Act. Implied consent may be assumed for current customers, but risk-averse approach is to still obtain consent.","None specific beyond standard non-commercial call exemptions (e.g., purely survey or political calls are outside telemarketing scope).","No dedicated telemarketing prefix. Calls from Cuba typically display Cuban numbers; the government telecom (ETECSA) manages numbering.","Revised consumer protection regulations were introduced around 2013 (no major recent changes). No new telemarketing laws in 2024; pending data privacy improvements have been discussed but not enacted.","2025-08-20","Consumer Protection (URCA) consultation 2013 (telemarketing section); Data Protection Act 2003 (right to prohibit direct marketing).","No DNC list – maintain an internal opt-out list. Obtain express consent for automated calls. Adhere to typical calling hours (e.g., 8am–9pm) as a best practice. Provide identification and honor any 'do not call' immediately. Enforcement of rules is limited, but reputational risk remains.","2013-12-31","Low"
Africa,Central African Republic,CF,"Virtually no dedicated telemarketing laws. Electronic Communications Law 2018 governs telecom broadly, but there is no evidence of consumer telemarketing protections or a marketing opt-in requirement. Telemarketing, if any, is essentially unregulated aside from general nuisance or fraud laws.","Opt-out de facto (No legal opt-in mandate; calls can be made until a consumer objects, although formal mechanisms are absent). Companies should honor individual requests not to be called.","None – no specific rules for business calls beyond standard commerce regulations.","Not regulated (B2B telemarketing is not addressed by current law; allowed by default).","None.",N/A,N/A,N/A,"Not specified.","No.","No specific law (assume one-party consent is acceptable; however, lack of legal framework means caution).","Not applicable (no telemarketing restrictions to exempt from).","N/A","None specific (basic telecom norms to not spoof likely apply).","None. Telecom law 2018 is in force; no recent consumer protection additions.","2025-08-20","ARCEP-Centrafrique Communications Act 2018 (no mention of telemarketing/DNC).","No compliance infrastructure. Proceed carefully: get voluntary consent where possible, limit call frequency. Consider political instability—minimal calls to this region.","2018-01-17","Low"
Africa,Republic of the Congo,CG,"Personal data legislation provides the main framework. The Republic of Congo passed a Data Protection Law in 2019, which likely requires respecting individuals' objections to marketing. No specific telemarketing or DNC law exists outside of data privacy obligations.","Opt-out (Consumers have the right to object to direct marketing at any time. Unsolicited calls are permitted unless the consumer has opted out or withheld consent, except automated calls require consent).","No dedicated B2B telemarketing rules. Marketing to businesses is generally allowed, though if calling an individual at a business on their personal number or using their personal data, the Data Protection Law would grant those individuals opt-out rights.","Opt-out (No regulation specifically for B2B; good practice to apply consumer-like opt-out if personal data are used).","None.",N/A,N/A,N/A,"Not specified in law.","Not specifically (no known rule on automated call disclosure; general consent for automated dialing would be needed if considered data processing).","One-party consent (no known local prohibition on recording if you are a party; however, privacy law means recordings (personal data) require a legitimate basis such as consent or necessity).","Not formally defined. Implied consent for marketing may be inferred for existing customers under "legitimate interest", but any direct marketing must stop upon objection.","None specific (no telemarketing-specific exemptions documented).","No known requirements (standard practice to show a valid number is advised).","Data Protection Authority being set up (law 2025-03 creating a commission); no new telemarketing law. Enforcement of marketing provisions may increase as data law is implemented.","2025-08-20","Data Protection Act 2019 (Loi 29-2019) (includes right to prevent direct marketing).","Ensure an easy opt-out on first contact. Best to obtain express consent for prospect calls given lack of clarity. Focus on compliance with data protection principles (transparency, purpose limitation).","2019-10-10","Low"
Americas,Cuba,CU,"Telemarketing as a private business practice is extremely limited in Cuba. There are no known telemarketing-specific laws or consumer opt-in regimes. Communications are tightly controlled by the state; any sales calls would require state authorization.","N/A (Consumers are not typically subject to telemarketing; any solicitation would presumably occur only with state oversight or implicit consent in a government program).","No framework for B2B telemarketing (private enterprise is heavily regulated; business calls would follow general communications rules).","N/A","None.",N/A,N/A,N/A,"Not specified by any law (calls are generally handled by ETECSA's policies).","No.","Government surveillance exists, but legally individuals cannot record others without consent (and the government denies any legal mass monitoring program). For the platform's purposes, assume consent is required to record calls.","Not applicable (no telemarketing regime).","N/A.","N/A.","No specific telemarketing prefix. Calls from Cuba typically display Cuban numbers; the government telecom (ETECSA) manages numbering.","Cuba adopted a Social Communication Law in 2023, but it addresses media and propaganda, not telemarketing specifically. No indication of future telemarketing provisions.","2025-08-20","Official denial of any call-recording regulation (Supreme Court statement, 2025).","Telemarketing activities in Cuba are not advised. Treat all calls as highly sensitive. If any outreach is needed, coordinate with Cuban authorities/ETECSA and assume full consent is needed from contacts.","2023-07-01","Low"
Africa,Cabo Verde,CV,"Telemarketing is subject to general data protection and consumer laws. Cabo Verde's Data Protection Act (Law 133/V/2001) and its amendments give individuals rights over personal data use. Unsolicited calls are not specifically regulated by a standalone law, but direct marketing falls under data privacy oversight.","Opt-out (Consumers have an absolute right to object to direct marketing processing of their data, per data protection principles). Prior explicit consent is not legally mandated for calls, but if a person opts out or is in the "do not solicit" directory, they must not be called.","No explicit B2B telemarketing statutes. B2B calls are generally allowed; if personal data (like employee contacts) are used, the data subject's rights under the Data Protection Act apply.","Opt-out (No official requirement for B2B consent; businesses can call unless they object or data use violates privacy principles).","None.",N/A,N/A,N/A,"Not defined in law.","Not specifically.","Likely consent or legitimate interest with notice (In absence of specific law, follow GDPR-like principles: advise the party and get consent if recording calls).","No explicit exemption. An existing relationship might imply consent for similar product calls (as in EU 'soft opt-in' concept), but the person can opt out at any time and that must be respected.","None specific. (Charitable/political calls would not be "commercial" and thus not restricted by marketing rules.)","No specific rules. The telecom regulator (ARME) does not mandate a telemarketing prefix; telemarketers should display a valid number.","No known recent changes. Data Protection Law was updated in 2013 to align more with international standards; no 2024+ telemarketing reforms noted.","2025-08-20","Constitution & Law No. 133/V/2001 (Data Protection – establishes right to stop direct marketing); National Data Protection Commission (CNPD) guidance.","Treat Cabo Verde like an EU jurisdiction: require an easy opt-out on calls, and ideally obtain prior permission for cold calls. Maintain an internal suppression list. No centralized list to scrub, so compliance is primarily via honoring individual rights.","2013-01-01","Low"
South America,French Guiana,GF,"As an overseas department of France, French Guiana follows French and EU telemarketing laws. Telemarketing to consumers is tightly regulated under the French Consumer Code and GDPR. Cold calls are allowed only on an opt-out basis (Liste Bloctel) with strict time windows and upcoming shifts to opt-in.","Opt-out (Consumers not on the Bloctel list may be called, but telemarketers must scrub against Bloctel. Note: From 2026, France will require opt-in consent for all sectors).","Calls to professionals are generally not covered by Bloctel rules (the French system applies to consumer (B2C) numbers only). B2B calls remain opt-out (permitted unless the business objects).","Opt-out (No blanket prohibition on B2B telemarketing; must honor any objections or corporate TPS if applicable).","Bloctel (France's national opt-out list).","https://www.bloctel.gouv.fr","Yes (Bulk list scrubbing is provided for telemarketers).","No (If an existing customer relationship exists, calls are allowed even if the number is on Bloctel – e.g., ongoing contract).","Yes – only Mon–Fri 10:00–13:00 and 14:00–20:00; no calls on weekends or holidays (France decree as of March 2023).","Yes/Depends (Automated/prerecorded calls require prior express consent and must state the caller's identity. No specific rule for a live agent using AI voice, but fully automated calls are treated as robocalls requiring consent.)","Consent (French law forbids recording private conversations without consent of all parties; in practice, callers must announce recording and obtain consent).","Yes, limited. If a consumer is in an ongoing contract, telemarketing is allowed despite Bloctel. Also, existing clients can be solicited for similar products under soft opt-in, but they can opt out anytime.","Some sectors are exempt or prohibited: energy renovation and CPF training calls are outright banned unless solicited. Non-profit fundraising, surveys, and press subscriptions are exempt from Bloctel.","Yes – as of Jan 2023, telemarketing calls must use certain number ranges (France has reserved prefixes like 0162…0378 for marketing calls). Caller ID must not be concealed.","Very significant: Law of June 2025 prohibits unsolicited calls in specific sectors (effective July 2025) and will extend to all sectors by Aug 2026, moving France toward opt-in only. New hours and number prefix rules came into force in 2023.","2025-08-20","Ministry of Economy (France) – Bloctel guidance; French Consumer Code (Bloctel exceptions); ARCEP number plan (2023).","Full French compliance: must integrate Bloctel scrubbing before dialing any French Guiana numbers. Only call within permitted hours. Configure caller ID to an approved range. Starting 2026, require prior consent for essentially all cold calls – plan to switch to opt-in outreach. Recording requires verbal two-party consent on the call.","2023-03-01","High"
Europe,Gibraltar,GI,"Telemarketing is governed by privacy and electronic communications laws derived from UK/EU frameworks. Gibraltar has implemented "Gibraltar GDPR" (post-Brexit data protection) and likely follows UK's Privacy and Electronic Communications rules. Consumers have the right to object to marketing use of their data, and unsolicited live marketing calls are not allowed to those who have opted out via preference services.","Opt-out (Unsolicited calls are allowed unless the consumer is on an opt-out list or has withdrawn consent. Automated marketing calls require prior consent.)","Similar to UK: Corporate numbers can register on the Corporate Telephone Preference Service. No separate Gibraltar-specific B2B law, so the UK model of allowing B2B calls with opt-out applies.","Opt-out (B2B recipients can be called unless listed on CTPS or they object).","Telephone Preference Service (TPS) and Corporate TPS.","https://www.tpsonline.org.uk","Yes (telemarketers subscribe and scrub lists via TPS system).","Yes (Being an existing customer does NOT exempt calling if the number is on TPS – explicit consent is still required).","Not explicitly set in law (UK/Gibraltar law requires "reasonable hours," generally observed as 8am to 9pm local time).","Yes (Fully automated calls must have prior consent and state the caller's identity in the recorded message). No special rule if a human is speaking (even if aided by AI).","Legitimate interest (Gibraltar, like UK, allows one-party consent recording. However, GDPR principles require transparency – best practice is to inform at the start of the call).","Limited. Existing customers can be called only if they are not on TPS or have specifically consented. (In UK/Gib, an EBR does *not* override TPS registration).","Pure service or market survey calls are not considered "direct marketing" and aren't covered by these restrictions. Also, calls made in response to a customer's inquiry are not unsolicited.","Yes – callers must not withhold their number. Telemarketers must display a valid caller ID number that permits a return call.","No Gibraltar-specific changes noted post-2021. Gibraltar's laws mirror UK's; the UK's upcoming Data Reform (Data Protection and Digital Information Bill) may eventually affect telemarketing consent rules, but not in force yet.","2025-08-20","Information Commissioner (Gibraltar GDPR) guidance; UK ICO PECR guidance (applicable in Gibraltar).","Ensure screening against TPS/CTPS for +350 numbers. Don't rely on "existing customer" to bypass TPS – get explicit consent if possible. Always display CLI and introduce caller/company. Provide an immediate opt-out option in every call. Treat automated dialing with extreme caution (consent required).","2018-05-25","Low"
Americas,Guadeloupe,GP,"Guadeloupe is an overseas region of France, so French telemarketing laws apply (see French Guiana). Consumer telemarketing is tightly regulated: opt-out regime via Bloctel, limited call hours, and a transition toward opt-in by 2026.","Opt-out (current system) – consumers not on Bloctel can be called, otherwise prohibited. After 2026, it will effectively be opt-in for all sectors.","Same as mainland France: B2B calls are not covered by Bloctel. B2B telemarketing is permitted unless the business has objected.","Opt-out.","Bloctel.","https://www.bloctel.gouv.fr","Yes.","No (Existing contractual relationships allow calls despite Bloctel listing).","Yes – Mon–Fri only, 10h–13h & 14h–20h; no calls Sat/Sun/holidays.","Yes (Prerecorded calls need consent and identification).","Consent required (two-party consent under French Penal Code and GDPR).","Yes (ongoing service providers can call their customers (e.g., to offer upgrades) even if on Bloctel, provided it's related to the existing service. Customers can still opt out from that company's calls.)","Identical to France (journal subscriptions, surveys, non-profit calls exempt; energy renovation and CPF calls banned).","Yes – must use designated telemarketing number ranges and show caller ID.","Same as France: new 2023 rules on call timing and number prefixes; 2025 law moving to opt-in model by 2026.","2025-08-20","French Consumer Code (Bloctel); ARCEP decision on numbering (2022).","Fully align with France's regime. Use Bloctel suppression for any call list. Only call during allowed hours. Use French-approved caller IDs. Prepare to implement an opt-in-only strategy ahead of 2026.","2023-03-01","High"
