Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk,DNC_Check_Required_for_ER,Quiet_Hours (allowed_window_local),AI_Disclosure_Required,Recording_Basis,Existing_Relationship_Exemption,Known_Exceptions,CallerID/Prefix_Rules,Recent_Changes (2024+),Last_Verified,Primary_Sources,Notes_for_Product
South Africa,ZA,Telemarketing regulated under CPA and ECT Act,opt-out regime via DNC,No specific B2B telemarketing regulation found,apply consumer rules,National Opt-Out Registry,https://www.nationaloptout.co.za,Unknown,Yes,"Mon–Fri 08:00–19:00; Sat 09:00–13:00; no Sun/public holidays",Not specified,consent,Existing relationship does not exempt from checking DNC,Direct marketing by electronic means requires consent,Caller ID must not be withheld,2024 proposals to strengthen POPIA enforcement,2025-08-19,"Information Regulator (POPIA); ICASA; National Consumer Commission","Apply consumer rules conservatively to B2B"
Nigeria,NG,Telemarketing restricted under NCC Do-Not-Disturb Directive,opt-out regime,B2B not covered,apply consumer rules,Do Not Disturb Registry,https://ncc.gov.ng,Yes,Yes,08:00–20:00 daily,Not specified,consent,Existing relationship does not override DND,SMS/calls require consumer opt-out option,Caller ID must be displayed,NCC announced tighter enforcement 2024,2025-08-19,"NCC (Do-Not-Disturb); NITDA (NDPR)","Apply consumer rules conservatively to B2B"
Kenya,KE,Telemarketing regulated under Data Protection Act,opt-in regime,B2B not specifically regulated,apply consumer rules,None,None,N/A,Depends,08:00–18:00 Mon–Fri,Not specified,consent,Consent required; existing relationship does not exempt,Promotional SMS require prior consent,Caller ID must not be spoofed,2024 draft amendment on unsolicited communications,2025-08-19,"ODPC Kenya; CAK (Competition Authority)","Apply consumer rules conservatively to B2B"
Ghana,GH,Telemarketing under Data Protection Act,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent is primary basis,Weak enforcement of telemarketing restrictions,Caller ID must not be spoofed,No major changes since 2023,2025-08-19,"Data Protection Commission Ghana; NCA Ghana","Apply conservative opt-in policy"
Ethiopia,ET,Telemarketing not specifically regulated,No clear opt-in/out,No specific B2B regulation,None,None,N/A,No,Not specified,Not specified,consent,No explicit rules; apply general consent principles,Telecom monopoly (Ethio Telecom) controls SMS marketing,Caller ID rules not specified,None,2025-08-19,"Ethiopian Communications Authority; Ministry of Innovation & Technology","Apply strict consent requirement"
Tanzania,TZ,Consumer telemarketing regulated under EPOCA,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–20:00 (general practice),Not specified,consent,Consent needed for unsolicited communications,Some sector-specific exemptions,Caller ID must be displayed,2024 new guidelines under discussion,2025-08-19,"TCRA (Tanzania Communications Regulatory Authority)","Treat all marketing as opt-in"
Uganda,UG,Telemarketing under Data Protection and Privacy Act,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–18:00,Not specified,consent,Consent needed; ER not sufficient,Unsolicited SMS common but unlawful,Caller ID display required,None,2025-08-19,"NITA-U Uganda; UCC (Communications Commission)","Apply strict consent model"
Rwanda,RW,Marketing calls under Data Protection Law 2021,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–18:00,Not specified,consent,Consent required,No enforcement framework yet,Caller ID must not be spoofed,None,2025-08-19,"RURA (Utilities Reg. Authority); Data Protection Office","Adopt conservative opt-in until clarified"
Senegal,SN,Telemarketing covered by PDP Law 2021,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,08:00–20:00,Not specified,consent,Consent required; ER not exempt,CNIL-style DPA guidance,Caller ID must not be hidden,None,2025-08-19,"CDP Senegal; ARTP Senegal","Apply strict consent until clearer rules"
Côte d'Ivoire,CI,Telemarketing under Data Protection Law,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent needed,Weak enforcement capacity,Caller ID must not be spoofed,None,2025-08-19,"ARTCI (Telecom Regulator); Data Protection Authority CI","Treat as opt-in"
Cameroon,CM,Data Protection framework limited no specific telemarketing law,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Lack of DNC system,Caller ID rules not specified,None,2025-08-19,"ANTIC Cameroon; Ministry of Posts & Telecoms","Apply strict opt-in due to uncertainty"
Democratic Republic of Congo,CD,No specific telemarketing law,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Very limited enforcement,Caller ID not regulated,None,2025-08-19,"ARPTC (Regulator)","Apply conservative consent-based rules"
Angola,AO,Consumer telemarketing under Data Protection Law 2011,opt-in regime,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required; ER not exempt,Weak institutional enforcement,Caller ID not regulated,None,2025-08-19,"INACOM Angola; Data Protection Law 2011","Apply strict consent approach"
Mozambique,MZ,No specific telemarketing law,No clear regime,B2B not regulated,None,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Weak enforcement,Not specified,None,2025-08-19,"INCM Mozambique; Consumer Law references",Apply conservative opt-in
Zambia,ZM,Electronic Communications Act covers marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Enforcement unclear,Caller ID must be accurate,None,2025-08-19,"ZICTA; Zambia Data Protection Act",Apply conservative consent-based rule
Zimbabwe,ZW,Consumer Protection Act applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement capacity,Not specified,None,2025-08-19,"POTRAZ Zimbabwe; Consumer Protection Act",Apply strict opt-in
Botswana,BW,Data Protection Act 2018 applies to marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Limited DPA enforcement,Not specified,None,2025-08-19,"DPA Botswana; BOCRA telecom regulator",Apply strict opt-in
Namibia,NA,Data Protection Bill pending; no DNC yet,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,No enforcement mechanism yet,Not specified,"Bill pending 2024",2025-08-19,"CRAN Namibia; draft Data Protection Bill",Treat as opt-in until law passes
Malawi,MW,No specific telemarketing framework,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,No registry,Not specified,None,2025-08-19,"MACRA Malawi regulator",Apply conservative opt-in
Benin,BJ,Digital Code covers consent,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement,Not specified,None,2025-08-19,"ARCEP Benin; Digital Code 2018",Apply strict opt-in
Togo,TG,Electronic Communications Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,No registry,Not specified,None,2025-08-19,"ARCEP Togo; Data Protection Authority CNIL-Togo",Apply strict opt-in
Burkina Faso,BF,Data Protection Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,CIL regulator but weak enforcement,Not specified,None,2025-08-19,"CIL Burkina Faso; ARCEP regulator",Apply strict opt-in
Mali,ML,Data Protection Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement,Not specified,None,2025-08-19,"APDP Mali",Apply strict opt-in
Niger,NE,No specific telemarketing law,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Limited enforcement,Not specified,None,2025-08-19,"ARCEP Niger",Apply conservative opt-in
Guinea,GN,Data Protection Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,APDP not strongly enforced,Not specified,None,2025-08-19,"APDP Guinea",Apply strict opt-in
Sierra Leone,SL,Data Protection Act 2023 applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Recent law,Not specified,2023 Data Protection Act,2025-08-19,"Data Protection Commission Sierra Leone",Apply strict opt-in
Liberia,LR,Data Protection & Privacy Act 2022 applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,New law not fully enforced,Not specified,2022 Data Protection Act,2025-08-19,"Liberia Data Protection Office",Apply strict opt-in
Gambia,GM,Data Protection Act applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement,Not specified,None,2025-08-19,"Gambia DPA",Apply strict opt-in
Mauritius,MU,Data Protection Act 2017 regulates marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Enforcement by DPA,Not specified,None,2025-08-19,"Mauritius Data Protection Commissioner",Apply strict opt-in
Seychelles,SC,Data Protection Act 2021 regulates marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,New regulator,Not specified,None,2025-08-19,"Seychelles Data Protection Authority",Apply strict opt-in
Egypt,EG,NTRA regulates promotional/commercial calls (registration & caller identification),opt-out (no DNC; registration + alert/identity required),No specific B2B telemarketing regulation found.,depends,None (registry of calling numbers, not DNC),,N/A,Depends,Not specified,Depends (not AI-specific; must identify caller/‘NTRA Alert’),consent (recommended),"ER does not bypass registration/identification rules.",—,"Must display entity name or NTRA Alert; enforcement ongoing.",NTRA regulations announced 2024-07-21; enforcement actions 2024-10 and 2025.,2025-08-18,"https://www.tra.gov.eg/en/ntra-acknowledges-regulations-for-promotional-and-commercial-calls/; https://www.tra.gov.eg/en/ntra-starts-taking-legal-measures-against-mountain-view-for-conducting-telemarketing-calls-in-violation-to-law-and-relevant-regulations-issued/",EN,2024-07-21,Low,"Only use registered lines; ensure name display or NTRA Alert; avoid spoofing; capture consent if recording."
Morocco,MA,General consumer (Law 31-08) & telecom law; no specific telemarketing/DNC,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified for telemarketing.",—,Display valid CLI.,No 2024+ telemarketing updates noted.,2025-08-18,"https://www.mcinet.gov.ma/fr/content/protection-du-consommateur; https://www.anrt.ma/en/reglementation/lois/telecommunications",FR,2019-01-25,Low,"Apply conservative approach: consent where feasible; honor opt-out; avoid automated voice without consent."
Algeria,DZ,General consumer & e-commerce framework; no telemarketing/DNC,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",Call-center activity subject to ARPCE licensing terms.,True CLI; anti-spoofing by operators.,No 2024+ telemarketing updates noted.,2025-08-18,"https://www.arpce.dz/en; https://www.joradp.dz/FTP/jo-francais/2009/F2009015.pdf",FR,2009-03-08,Low,"Use consent where possible; respect call-center licensing; avoid robocalls."
Tunisia,TN,Data-protection law bans processing for advertising without express consent,opt-in (for personal data use),No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends (not AI-specific),consent (required when personal data used for marketing),"ER does not waive consent requirement for personal data use.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://www.ins.tn/sites/default/files/2020-04/Loi%2063-2004%20Fr.pdf; https://legislation-securite.tn/latest-laws/loi-organique-n-2004-63-du-27-juillet-2004-portant-sur-la-protection-des-donnees-a-caractere-personnel/",FR,2004-07-27,Low,"Treat consumer calls as opt-in; hold proof of consent; offer easy opt-out."
Sudan,SD,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"http://www.ntc.gov.sd",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Libya,LY,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://lptic.ly; https://www.gptc.ly",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
